GEO_ID,STATE,STATEFP,LEA,SDNAME,TYPE,
0406900,AZ,04,06900,Red Rock Elementary District,Elementary,
0406930,AZ,04,06930,Redington Elementary District,Elementary,
0406960,AZ,04,06960,San Carlos Unified District,Unified,
0407020,AZ,04,07020,Riverside Elementary District,Elementary,
0407080,AZ,04,07080,Roosevelt Elementary District,Elementary,
0407130,AZ,04,07130,Round Valley Unified District,Unified,
0407140,AZ,04,07140,Rucker Elementary District,Elementary,
0407170,AZ,04,07170,Saddle Mountain Unified School District,Unified,
0407200,AZ,04,07200,Sacaton Elementary District,Elementary,
0407240,AZ,04,07240,Safford Unified District,Unified,
0407300,AZ,04,07300,Sahuarita Unified District,Unified,
0407380,AZ,04,07380,San Fernando Elementary District,Elementary,
0407430,AZ,04,07430,San Simon Unified District,Unified,
0407500,AZ,04,07500,Santa Cruz Elementary District,Elementary,
0407520,AZ,04,07520,Santa Cruz Valley Unified District,Unified,
0407530,AZ,04,07530,Santa Cruz Valley Union High School District,Secondary,
0407570,AZ,04,07570,Scottsdale Unified District,Unified,
0407630,AZ,04,07630,Seligman Unified District,Unified,
0407680,AZ,04,07680,Sentinel Elementary District,Elementary,
0407700,AZ,04,07700,Show Low Unified District,Unified,
0407750,AZ,04,07750,Deer Valley Unified District,Unified,
0407770,AZ,04,07770,Skull Valley Elementary District,Elementary,
0407820,AZ,04,07820,Snowflake Unified District,Unified,
0407860,AZ,04,07860,Solomon Elementary District,Elementary,
0407890,AZ,04,07890,Somerton Elementary District,Elementary,
0407920,AZ,04,07920,Sonoita Elementary District,Elementary,
0408020,AZ,04,08020,St. David Unified District,Unified,
0408080,AZ,04,08080,St. Johns Unified District,Unified,
0408130,AZ,04,08130,Stanfield Elementary District,Elementary,
0408170,AZ,04,08170,Sunnyside Unified District,Unified,
0408230,AZ,04,08230,Superior Unified School District,Unified,
0408280,AZ,04,08280,Tanque Verde Unified District,Unified,
0408310,AZ,04,08310,Tempe School District,Elementary,
0408340,AZ,04,08340,Tempe Union High School District,Secondary,
0408410,AZ,04,08410,Thatcher Unified District,Unified,
0408430,AZ,04,08430,Paloma School District,Elementary,
0408460,AZ,04,08460,Hillside Elementary District,Elementary,
0408490,AZ,04,08490,Tolleson Elementary District,Elementary,
0408520,AZ,04,08520,Tolleson Union High School District,Secondary,
0408550,AZ,04,08550,Toltec Elementary District,Elementary,
0408600,AZ,04,08600,Tombstone Unified District,Unified,
0408640,AZ,04,08640,Topock Elementary District,Elementary,
0408680,AZ,04,08680,Tuba City Unified District,Unified,
0408800,AZ,04,08800,Tucson Unified District,Unified,
0408820,AZ,04,08820,Union Elementary District,Elementary,
0408850,AZ,04,08850,Vail Unified District,Unified,
0408880,AZ,04,08880,Valentine Elementary District,Elementary,
0408910,AZ,04,08910,Valley Union High School District,Secondary,
0409030,AZ,04,09030,Walnut Grove Elementary District,Elementary,
0409060,AZ,04,09060,Washington Elementary District,Elementary,
0409090,AZ,04,09090,Wellton Elementary District,Elementary,
0409120,AZ,04,09120,Wenden Elementary District,Elementary,
0409160,AZ,04,09160,Whiteriver Unified District,Unified,
